TradableInstrumentAlphaCode,LogicalBusinessDay,BuySellIndicator,CountOfTrades
ABL,2013/01/02,B,729
ABL,2013/01/02,S,1000
ABLNIG,2013/01/02,B,1
ABLNIG,2013/01/02,S,1
ABLP,2013/01/02,B,6
ABLP,2013/01/02,S,2
ABLSTH,2013/01/02,B,13
ABLSTH,2013/01/02,S,4
ABSP,2013/01/02,B,4
ACL,2013/01/02,B,278
ACL,2013/01/02,S,179
ACLNII,2013/01/02,B,2
ACLNII,2013/01/02,S,8
ACP,2013/01/02,B,7
ACP,2013/01/02,S,6
ACT,2013/01/02,B,16
ACT,2013/01/02,S,15
ADH,2013/01/02,B,15
ADH,2013/01/02,S,3
ADI,2013/01/02,S,2
ADR,2013/01/02,S,2
ADW,2013/01/02,B,1
ADW,2013/01/02,S,1
AEG,2013/01/02,B,76
AEG,2013/01/02,S,167
AER,2013/01/02,B,2
AER,2013/01/02,S,2
AET,2013/01/02,B,1
AFE,2013/01/02,B,32
AFE,2013/01/02,S,12
AFP,2013/01/02,S,2
AFR,2013/01/02,B,34
AFR,2013/01/02,S,21
AFT,2013/01/02,B,5
AFT,2013/01/02,S,2
AFX,2013/01/02,B,13
AFX,2013/01/02,S,15
AGL,2013/01/02,B,2112
AGL,2013/01/02,S,1472
AGLIBC,2013/01/02,B,10
AGLIBC,2013/01/02,S,2
AGLIBV,2013/01/02,S,1
AGLNIH,2013/01/02,S,1
AGLSBL,2013/01/02,B,8
AGLSBL,2013/01/02,S,3
AGLSBM,2013/01/02,B,6
AGLSBM,2013/01/02,S,2
AGLSBQ,2013/01/02,B,2
AGLSBQ,2013/01/02,S,22
AGLSTG,2013/01/02,B,19
AGLSTG,2013/01/02,S,10
AIP,2013/01/02,B,55
AIP,2013/01/02,S,70
ALT,2013/01/02,B,13
ALT,2013/01/02,S,15
AMA,2013/01/02,B,7
AMA,2013/01/02,S,8
AMS,2013/01/02,B,1181
AMS,2013/01/02,S,1198
AMSIBD,2013/01/02,B,3
AMSSBB,2013/01/02,B,3
AMSSBC,2013/01/02,B,5
AMSSBC,2013/01/02,S,1
AMSSTG,2013/01/02,B,3
ANA,2013/01/02,B,1
ANG,2013/01/02,B,705
ANG,2013/01/02,S,1453
ANGSBB,2013/01/02,B,2
ANGSBC,2013/01/02,B,1
ANGSBC,2013/01/02,S,1
ANGSTG,2013/01/02,B,1
ANGSTG,2013/01/02,S,1
ANM,2013/01/02,B,1
ANM,2013/01/02,S,1
ANS,2013/01/02,B,2
ANS,2013/01/02,S,1
AOX,2013/01/02,S,1
APKP,2013/01/02,B,1
APN,2013/01/02,B,574
APN,2013/01/02,S,854
AQP,2013/01/02,B,59
AQP,2013/01/02,S,14
ARH,2013/01/02,S,1
ARI,2013/01/02,B,565
ARI,2013/01/02,S,583
ARL,2013/01/02,B,70
ARL,2013/01/02,S,93
ART,2013/01/02,B,1
ART,2013/01/02,S,1
ASA,2013/01/02,B,1169
ASA,2013/01/02,S,1778
ASASBG,2013/01/02,B,1
ASASBR,2013/01/02,B,2
ASR,2013/01/02,B,336
ASR,2013/01/02,S,230
ATL,2013/01/02,B,2
ATN,2013/01/02,B,17
ATN,2013/01/02,S,5
ATNP,2013/01/02,B,13
ATNP,2013/01/02,S,16
AVI,2013/01/02,B,161
AVI,2013/01/02,S,251
AWA,2013/01/02,B,12
AWA,2013/01/02,S,11
AWB,2013/01/02,B,13
AWB,2013/01/02,S,11
AWT,2013/01/02,S,1
B2G,2013/01/02,S,1
BAT,2013/01/02,B,27
BAT,2013/01/02,S,50
BATP,2013/01/02,B,1
BAU,2013/01/02,B,2
BAU,2013/01/02,S,2
BAW,2013/01/02,B,473
BAW,2013/01/02,S,536
BBET40,2013/01/02,B,5
BBET40,2013/01/02,S,1
BCF,2013/01/02,S,4
BCX,2013/01/02,B,3
BCX,2013/01/02,S,4
BDM,2013/01/02,B,2
BDM,2013/01/02,S,4
BEL,2013/01/02,B,7
BEL,2013/01/02,S,9
BFS,2013/01/02,B,14
BGREEN,2013/01/02,B,1
BIL,2013/01/02,B,1319
BIL,2013/01/02,S,1721
BILSBA,2013/01/02,B,1
BILSBC,2013/01/02,B,7
BILSBC,2013/01/02,S,1
BILSBX,2013/01/02,S,1
BILSBY,2013/01/02,S,1
BILSTI,2013/01/02,B,1
BIO,2013/01/02,B,1
BLU,2013/01/02,B,56
BLU,2013/01/02,S,47
BMN,2013/01/02,S,1
BRN,2013/01/02,B,5
BRN,2013/01/02,S,1
BRT,2013/01/02,B,5
BSR,2013/01/02,B,4
BSR,2013/01/02,S,7
BSS,2013/01/02,B,1
BTI,2013/01/02,B,873
BTI,2013/01/02,S,575
BTIIHB,2013/01/02,B,5
BTIIHB,2013/01/02,S,1
BTISBC,2013/01/02,B,2
BTISBC,2013/01/02,S,7
BTISTA,2013/01/02,S,1
BVT,2013/01/02,B,591
BVT,2013/01/02,S,1182
BWI,2013/01/02,B,1
BWL,2013/01/02,S,1
CAT,2013/01/02,B,1
CCO,2013/01/02,B,96
CCO,2013/01/02,S,70
CDZ,2013/01/02,S,3
CFR,2013/01/02,B,470
CFR,2013/01/02,S,406
CFRSBF,2013/01/02,B,2
CGR,2013/01/02,B,2
CGR,2013/01/02,S,23
CIL,2013/01/02,B,8
CIL,2013/01/02,S,19
CLH,2013/01/02,B,16
CLH,2013/01/02,S,26
CLI,2013/01/02,B,1
CLI,2013/01/02,S,3
CLR,2013/01/02,B,10
CLR,2013/01/02,S,4
CLRP,2013/01/02,B,1
CLS,2013/01/02,B,742
CLS,2013/01/02,S,476
CML,2013/01/02,B,200
CML,2013/01/02,S,325
CMP,2013/01/02,B,16
CMP,2013/01/02,S,30
COH,2013/01/02,B,6
COH,2013/01/02,S,8
COM,2013/01/02,B,34
COM,2013/01/02,S,11
CPI,2013/01/02,B,56
CPI,2013/01/02,S,100
CPIP,2013/01/02,B,4
CPIP,2013/01/02,S,1
CPL,2013/01/02,B,107
CPL,2013/01/02,S,67
CRD,2013/01/02,B,2
CSB,2013/01/02,B,6
CSB,2013/01/02,S,23
CSO,2013/01/02,B,225
CSO,2013/01/02,S,159
CSP,2013/01/02,B,2
CSP,2013/01/02,S,3
CVH,2013/01/02,B,14
CVH,2013/01/02,S,9
CVN,2013/01/02,B,9
CVN,2013/01/02,S,1
CZA,2013/01/02,B,83
CZA,2013/01/02,S,69
DAW,2013/01/02,B,1
DAW,2013/01/02,S,1
DBAGLD,2013/01/02,B,1
DBAGLD,2013/01/02,S,2
DBCHIN,2013/01/02,S,1
DBNPNH,2013/01/02,B,1
DBNPNH,2013/01/02,S,2
DBXEU,2013/01/02,B,4
DBXEU,2013/01/02,S,8
DBXJP,2013/01/02,S,2
