NAME,CODE,IND
ACCELERATE FUND,APF,MAT
ACSION LTD,ACS,MAT
ACUCAP PROPERTIE,ACP,MAT
ADRENNA PROPERTY,ANA,MAT
ARROWHEAD PROP,AWA,MAT
ASCENSION PROPER,AIA,MAT
ATTACQ LTD,ATT,MAT
BALWIN PROPERTIE,BWN,MAT
CALGRO M3 HOLDIN,CGR,MAT
CAP PROPERTY FD,CPF,MAT
DELTA PROPERTY F,DLT,MAT
DIPULA INCOME-A,DIA,MAT
EMIRA PROPERTY F,EMI,MAT
EQUITES PROPERTY,EQU,MAT
EXEMPLAR REITAIL,EXP,MAT
FAIRVEST PPTY-UT,FVT,MAT
FORTRESS REIT LT,FFA,MAT
FOUNTAINHEAD PRO,FPT,MAT
FREEDOM PROPERTY,FDP,MAT
GEMGROW PROPERTI,GPA,MAT
GROWTHPOINT PROP,GRT,MAT
HERIOT REIT LTD,HET,MAT
HYPROP INVESTMEN,HYP,MAT
INGENUITY PROPE,ING,MAT
INVESTEC PROPERT,IPF,MAT
LIBERTY TWO DEGR,L2D,MAT
LODESTONE REIT L,LDO,MAT
NDLUPLACE PROPER,ILU,MAT
NEWPARK REIT LTD,NRL,MAT
OCTODEC INVESTME,OCT,MAT
ORION REAL ESTAT,ORE,MAT
PREMIUM PROP-UTS,PMM,MAT
PUTPROP LTD,PPR,MAT
QUANTUM PROPERTY,QPG,MAT
RBA HOLDING LTD,RBA,MAT
REBOSIS PROPERTY,REB,MAT
REDEFINE PROPERT,RDF,MAT
RESILIENT REIT L,RES,MAT
SA CORPORATE REA,SAC,MAT
SAFARI INVESTMEN,SAR,MAT
SPEAR REIT LTD,SEA,MAT
STOR-AGE PROPERT,SSS,MAT
SYCOM PROPERTY,SYC,MAT
TEXTON PROPERTY,TEX,MAT
TOWER PROPERTY,TWR,MAT
TRADEHOLD LTD,TDH,MAT
TRANSCEND RESIDE,TPF,MAT
TSOGO SUN PROPER,HPA,MAT
VISUAL INTERNATI,VIS,MAT
VIVIDEND INCOME,VIF,MAT
VUKILE PROPERTY,VKE,MAT
BUFFALO COAL COR,BUF,ENE
BUILDMAX LTD,BDM,ENE
C2E ENERGY INC,OOG,ENE
EFORA ENERGY LTD,EEL,ENE
EXXARO RESOURCES,EXX,ENE
ICHOR COAL NV,IO0,ENE
IKWEZI MINING LT,IKW,ENE
KEATON,KEH,ENE
RENERGEN LTD,REN,ENE
SOUTH AFRICAN CO,SAH,ENE
UNICORN CAPITAL,UCP,ENE
URU METALS LTD,URU,ENE
ADCORP HOLDINGS,ADR,INDs
ALARIS HOLDINGS,ALH,INDs
ALLIED ELE-A SHR,AEL,INDs
AMALGAMATED ELEC,AER,INDs
ARB HOLDINGS LTD,ARH,INDs
ARGENT INDUS LTD,ART,INDs
AVENG LTD,AEG,INDs
BARLOWORLD LTD,BAW,INDs
BASIL READ HLDGS,BSR,INDs
BELL EQUIPMENT,BEL,INDs
BIDVEST GROUP,BVT,INDs
BLUE LABEL TELEC,BLU,INDs
CARGO CARRIERS,CRG,INDs
COMAIR LTD,COM,INDs
CONSOLIDATED INF,CIL,INDs
CSG HOLDINGS LTD,CSG,INDs
DELTA EMD LTD,DTA,INDs
DISTRIBUTION & W,DAW,INDs
EARN-A-CAR INC,EAC,INDs
ELB GROUP LTD,ELR,INDs
ENX GROUP LTD,ENX,INDs
ESOR LTD,ESR,INDs
GRINDROD LTD,GND,INDs
GROUP FIVE LTD,GRF,INDs
HOSKEN CONS INV,HCI,INDs
HOSKEN PASSENGER,HPR,INDs
HOWDEN AFRICA,HWN,INDs
HUDACO INDS LTD,HDC,INDs
ILIAD AFRICA LTD,ILA,INDs
IMPERIAL LOGISTI,IPL,INDs
INSIMBI INDUSTRI,ISB,INDs
INTERWASTE HOLDI,IWE,INDs
INVICTA HLDGS,IVT,INDs
JASCO ELECTRONIC,JSC,INDs
KAP INDUSTRIAL,KAP,INDs
KAYDAV GROUP LTD,KDV,INDs
KELLY GROUP SA P,KEL,INDs
MAZOR GROUP LTD,MZR,INDs
MDM ENGINEERING,MDM,INDs
METMAR LTD,MML,INDs
MINE RESTORATION,MRI,INDs
MOTA-ENGIL AF,MEA,INDs
MURRAY & ROBERTS,MUR,INDs
NOVUS HOLDINGS L,NVS,INDs
ONELOGIX GROUP,OLG,INDs
PRIMESERV GROUP,PMV,INDs
PROTECH KHUTHELE,PKH,INDs
PSV HOLDINGS,PSV,INDs
RARE HOLDINGS LT,RAR,INDs
RAUBEX GROUP LTD,RBX,INDs
REUNERT LTD,RLO,INDs
SANTOVA LTD,SNV,INDs
SOUTH OCEAN HOLD,SOH,INDs
STEFANUTTI STOCK,SSK,INDs
TORRE INDUSTRIES,TOR,INDs
TRELLIDOR HOLDIN,TRL,INDs
TRENCOR LTD,TRE,INDs
VALUE GROUP LTD,VLE,INDs
WESCOAL HOLDINGS,WSL,INDs
WILSON BAYLY HOM,WBO,INDs
WORKFORCE HOLDIN,WKF,INDs
ADVTECH LTD,ADH,CDS
AFRICAN & OVERS,AOO,CDS
ALERT STEEL HOLD,AET,CDS
CASHBUILD LTD,CSB,CDS
CITY LODGE HOTEL,CLH,CDS
COMBINED MOTOR,CMH,CDS
CULLINAN HLDGS,CUL,CDS
CURRO HOLDINGS L,COH,CDS
DIGICORE HOLDING,DGC,CDS
DON GROUP,DON,CDS
FAMOUS BRANDS LT,FBR,CDS
GOLD BRANDS INVE,GBI,CDS
GOODERSON LEISUR,GDN,CDS
GRAND PARADE INV,GPL,CDS
HOLDSPORT LTD,HSP,CDS
HOMECHOICE INTER,HIL,CDS
ITALTILE LTD,ITE,CDS
JD GROUP LTD,JDG,CDS
LEATT CORP,LEA,CDS
LEWIS GROUP LTD,LEW,CDS
METAIR INVTS LTD,MTA,CDS
MOTUS HOLDINGS L,MTH,CDS
MR PRICE GROUP,MRP,CDS
NASPERS LTD-N,NPN,CDS
NU-WORLD HLDGS,NWL,CDS
PEMBURY LIFESTYL,PEM,CDS
PEPKOR HOLDINGS,PPH,CDS
PHUMELELA GAMING,PHM,CDS
REX TRUEFORM GRO,RTO,CDS
SPUR CORP LTD,SUR,CDS
STADIO HOLDINGS,SDO,CDS
STEINHOFF INT NV,SNH,CDS
STEINHOFF INTERN,SHF,CDS
SUN INTERNATIONA,SUI,CDS
SUPER GROUP LTD,SPG,CDS
TASTE HOLDINGS,TAS,CDS
TFG,TFG,CDS
TRUWORTHS INTL,TRU,CDS
TSOGO SUN GAMING,TSG,CDS
TSOGO SUN HOTELS,TGO,CDS
VERIMARK HOLDING,VMK,CDS
WOOLWORTHS HLDGS,WHL,CDS
AH-VEST LTD,AHL,CS
ASTRAL FOODS LTD,ARL,CS
AVI LTD,AVI,CS
AWETHU BREWERIES,AWT,CS
BEIGE HOLDINGS,BEG,CS
BID CORP LTD,BID,CS
BRIMSTONE INVEST,BRT,CS
CAPEVIN HOLDINGS,CVH,CS
CLICKS GROUP LTD,CLS,CS
CLOVER INDUSTRIE,CLR,CS
COUNTRY BIRD HOL,CBH,CS
CROOKES BROTHERS,CKS,CS
DIS-CHEM PHARMAC,DCP,CS
DISTELL GROUP,DST,CS
DISTELL GROUP HO,DGH,CS
ILLOVO SUGAR PTY,ILV,CS
IMBALIE BEAUTY L,ILE,CS
KAAP AGRI LTD,KAL,CS
LIBSTAR HOLDINGS,LBR,CS
MASSMART HLDGS,MSM,CS
NUTRITIONAL HOLD,NUT,CS
OCEANA GROUP LTD,OCE,CS
PICK N PAY HLDGS,PWK,CS
PICK N PAY STORE,PIK,CS
PIONEER FOODS GR,PFG,CS
PREMIER FISHING,PFB,CS
QUANTUM FOODS HO,QFH,CS
RCL FOODS LTD/SO,RCL,CS
RHODES FOOD GROU,RFG,CS
SEA HARVEST GROU,SHG,CS
SHOPRITE HLDGS,SHP,CS
SOVEREIGN FOOD,SOV,CS
SPAR GRP LTD/THE,SPP,CS
TIGER BRANDS LTD,TBS,CS
TONGAAT HULETT,TON,CS
ADBEE RF LTD,ADE,HC
ADCOCK INGRAM HO,AIP,HC
ADVANCED HEALTH,AVL,HC
ASCENDIS HEALTH,ASC,HC
ASPEN PHARMACARE,APN,HC
CONNECTION GROUP,CCT,HC
LIFE HEALTHCARE,LHC,HC
LITHA HEALTHCARE,LHG,HC
MEDICLINIC INTER,MDC,HC
MEDICLINIC INTER,MDC,HC
NETCARE LTD,NTC,HC
ADAPTIT HOLDINGS,ADI,IT
ALVIVA HOLDINGS,AVV,IT
AYO TECHNOLOGY S,AYO,IT
BUSINESS CONNEX,BCX,IT
CAPITAL APPRECIA,CTA,IT
CARTRACK HOLDING,CTK,IT
COMPU-CLEARING,CCL,IT
DATACENTRIX HOLD,DCT,IT
DATATEC LTD,DTC,IT
ELLIES HOLDINGS,ELI,IT
EOH HOLDINGS LTD,EOH,IT
ETION LTD,ETO,IT
GIJIMA GROUP LTD,GIJ,IT
ISA HOLDINGS LTD,ISA,IT
LABAT AFRICA LTD,LAB,IT
M-FITEC INTERNAT,MFI,IT
METROFILE,MFL,IT
MIX TELEMATICS,MIX,IT
MORVEST GROUP LT,MOR,IT
MUSTEK LTD,MST,IT
NET 1 UEPS TECH,UEP,IT
PBT GROUP LTD,PBG,IT
SILVERBRIDGE HOL,SVB,IT
AFRICAN MEDIA EN,AME,COM
BLACKSTAR HOLDIN,TMG,COM
CAXTON AND CTP P,CAT,COM
COGNITION HOLDIN,CGN,COM
E MEDIA HOLDINGS,EMH,COM
HUGE GROUP LTD,HUG,COM
MONEYWEB HOLDING,MNY,COM
MTN GROUP LTD,MTN,COM
MULTICHOICE GROU,MCG,COM
TELEMASTERS HOLD,TLM,COM
TELKOM SA SOC LT,TKG,COM
TISO BLACKSTAR G,TBG,COM
VODACOM GROUP,VOD,COM
